	Ghana_Northern-Region	Benin_Atlantique-Dept	Ghana_Ashanti-Region	Nigeria_Ogun-State	Cameroon_Adamawa	CAR_Ombella-MPoko	DRC_Haut-Uele	Uganda_Eastern-Region	Kenya_Western-Prov	Kenya_Nyanza-Prov	Gabon_Haut-Ogooue	DRC_Kinshasa	Tanzania_Morogoro-Region	Mozambique_Cabo-Delgado	Zambia_Eastern-Prov	Malawi_Southern-Region	Mozambique_Maputo
Ghana_Northern-Region		0.1528051538607144	0.15204502089750002	0.14053779090070628	0.11954046543171765	0.11828109992560062	0.10842134450138738	0.10810019062694903	0.1062064619962016	0.10990046342044225	0.1894733485396135	0.19079476723295946	0.18183784611793183	0.1883941845828079	0.1767733321650238	0.1786581018140095	0.21765360769001346
Benin_Atlantique-Dept	0.008045187255065226		0.10149132405741385	0.09029187445642833	0.06592916030823633	0.05791361741758186	0.06105438969984011	0.06346150180498358	0.07788736620642704	0.06160074922256421	0.14114692653358063	0.13246466140745644	0.12303070514631959	0.1250378113044764	0.12030227173992662	0.12293288191727408	0.15159970884227839
Ghana_Ashanti-Region	0.006988567645596327	0.005491706506391838		0.010693998867215676	0.04669682897568822	0.053639500122729646	0.05486687621334402	0.07262065272234072	0.0806237150981991	0.06483036788919906	0.1019081548406799	0.10910077728854999	0.13252206551527432	0.13219302968586494	0.12690251468497288	0.13253160626411126	0.1632981592021911
Nigeria_Ogun-State	0.006899621352892421	0.0053065327446416245	0.0009503065584869449		0.0376607944273222	0.04395946406741659	0.04456532928102563	0.06105382776622059	0.06885392291738393	0.05401252505293949	0.09450330109967674	0.1007350909386136	0.12181209128036703	0.12190369154131063	0.1163367631722657	0.12161893729836518	0.15279231588932343
Cameroon_Adamawa	0.006682577200189224	0.004850446560101404	0.0028912387657712337	0.0026123488134603707		0.02598367259629288	0.029778434254505538	0.036608576865280865	0.04634305693029529	0.03364135539349658	0.0966045378014898	0.09402774593905801	0.0975119331102046	0.09970200639002372	0.09375267181555626	0.09738561892966625	0.12863891964282914
CAR_Ombella-MPoko	0.005470300175867228	0.0035224816930486723	0.002452663371213081	0.0023021547918452663	0.0019063478153577074		0.013347024702659801	0.017086758063092657	0.030115671368328066	0.014930853754771855	0.0983965328292266	0.09265381450905115	0.08905589403983738	0.09127663304034568	0.08621989238115373	0.08942730626085708	0.11941558313544666
DRC_Haut-Uele	0.006182874201877948	0.004400642376287217	0.003148353322908425	0.002811693452539332	0.0024578786048208767	0.0012026205704809727		0.006737240223961829	0.01410570288398108	0.005770194913628794	0.09735625296985227	0.09614952962872231	0.08810164402720852	0.09141685341074404	0.08386345242036912	0.0868189624346928	0.12121339003276947
Uganda_Eastern-Region	0.006101992900380332	0.004396319023335715	0.003727586279265679	0.003383497060711776	0.002802831883298763	0.0013923344276611492	0.0006195691492876289		0.005479249431329418	0.0013161480322312065	0.10756727633326024	0.10383961507739933	0.08767606642351636	0.09203963502393012	0.08405870076577915	0.0862685804260424	0.12125262790512133
Kenya_Western-Prov	0.005474477913985653	0.0046195878791687375	0.0037222271121789175	0.003459317455393744	0.003006457195647017	0.0015494332687061906	0.0010454557124420227	0.0004438713570954527		0.007150038113037839	0.11119885648200295	0.11179152794473593	0.09603674868638447	0.10226573461177392	0.09092870855170271	0.09276464739355884	0.13313051168047632
Kenya_Nyanza-Prov	0.00625270284928557	0.004407510797605282	0.003516836991908693	0.00318599212543871	0.0026984993013911937	0.001332930537584882	0.0006039182272640384	0.00013042256801299834	0.0004761502688317005		0.10152109005926781	0.09803115009270526	0.08364932891670854	0.08722725496924941	0.07998911457188548	0.08264704122887187	0.11661623908063551
Gabon_Haut-Ogooue	0.009355131127517005	0.008176609305995954	0.005886428660294366	0.005880069504679676	0.006212998590354995	0.005110799579279412	0.00613561707354011	0.0065454695561662285	0.006023667925409343	0.006294160678313194		0.03681808173393469	0.1021232374999735	0.10452344208289618	0.09775729853721872	0.1025958812587227	0.13545725586295207
DRC_Kinshasa	0.009281507786545122	0.007679356613040973	0.0059392806565938	0.005918296808688315	0.005950963959403261	0.004708296559112278	0.005885286642521226	0.006202782049772274	0.0058327728973778985	0.005937923210446861	0.0017870881533389085		0.08750972124808674	0.08787688540177054	0.08426672993743987	0.08867188892155659	0.11570368418295453
Tanzania_Morogoro-Region	0.008073402910272988	0.006559298939926358	0.006159929929621365	0.006136961942263745	0.005681935987211236	0.003921212217476534	0.005033484659149665	0.004903390544281967	0.004542736167477854	0.004779005959037403	0.004684744482267476	0.004009822177553703		0.01395652110110331	0.00989971119120372	0.01195480704241506	0.05417339067627908
Mozambique_Cabo-Delgado	0.009343722528660099	0.007463129851134563	0.006929624378854496	0.006854718463713567	0.006390021896542033	0.004778913084022294	0.005690629655246906	0.005597045314292536	0.005397011775809483	0.005393711702574402	0.0053795232002987765	0.004514692662798347	0.00084159813598814		0.006536700470907701	0.005501210460404453	0.04522835941649231
Zambia_Eastern-Prov	0.009035205750938902	0.007372805583635304	0.0068297598927275155	0.006726363547896954	0.006218492799168168	0.004672181909319699	0.005422850362122775	0.0053103906313875906	0.005022901362828358	0.005131952970389808	0.00519041017516112	0.004461976717951603	0.0006900158201402617	0.0003324586792438852		0.0019809813132110154	0.05213186663669277
Malawi_Southern-Region	0.008624580915589899	0.007082109265391965	0.006672028051608469	0.006596406492270353	0.00609918841741207	0.004455428848456668	0.0053253982517945005	0.005167674999731274	0.0048214024493875626	0.005041928045699877	0.005081670942652222	0.004387658762946629	0.000529694913429625	0.00029427657525160487	0.00014413376157234003		0.052266699233647664
