sample_id,n_het_X,n_called_X,n_het_3L,n_called_3L,n_het_3R,n_called_3R,n_het_2R,n_called_2R,n_het_2L,n_called_2L,n_het_3L_no_inv,n_called_3L_no_inv,n_het_3R_no_inv,n_called_3R_no_inv,n_het_2R_no_inv,n_called_2R_no_inv
VBS17664,230359,13195176,588336,28118178,605371,36046547,845635,46891716,688642,36768100,249542,13539180,283911,17680372,640508,35604610
VBS17665,223878,13197863,572654,28118779,596551,36059037,792208,46900123,667091,36772398,242538,13539749,272167,17682604,597606,35611038
VBS17666,215356,13203195,514145,28122031,620521,36051679,800090,46905107,644466,36785030,234493,13542934,263640,17684201,585237,35618315
VBS17668,221931,13200279,569998,28119379,638767,36048224,805156,46899027,661439,36775389,239717,13539691,273953,17683105,609538,35609165
VBS17669,228312,13197732,538133,28115351,585167,36043996,823876,46888678,672697,36771309,243244,13538841,274429,17680298,627692,35601687
VBS17672,251654,13194770,592580,28113125,714028,36036346,935426,46887550,744062,36766759,268335,13538110,312112,17677050,690371,35604365
VBS17673,227327,13197694,534183,28113065,606753,36055536,815384,46896404,674013,36770096,241040,13537967,276461,17680627,617875,35609330
VBS17674,223092,13197973,530048,28118104,680932,36049243,803996,46898650,669024,36775170,237337,13540311,279808,17682034,607454,35609682
VBS17676,29062,13224096,512501,28125669,553124,36062857,814465,46908080,645492,36786841,232625,13544356,257231,17687391,599009,35618939
VBS17677,215661,13202877,525119,28121845,634623,36064958,785495,46903182,660882,36776198,236163,13541906,277760,17683317,592621,35611761
VBS17678,221232,13201992,538703,28131738,644387,36047632,785746,46900356,667875,36775938,240265,13541295,278249,17682228,604843,35612097
VBS17679,227394,13198352,555308,28126551,654751,36051577,822079,46885010,688155,36766105,247017,13538314,288026,17677412,636614,35598671
VBS17680,210024,13209387,518710,28146838,575963,36088462,775319,46916291,640154,36790469,231634,13547520,264264,17688426,600518,35621799
VBS17681,210100,13209771,519196,28144023,577262,36090622,800189,46915820,641679,36790571,230931,13546730,264095,17688141,585392,35626289
VBS17683,209971,13208208,523664,28144724,619018,36074733,770377,46916250,641701,36791242,232710,13546066,263696,17687518,596253,35623310
VBS17684,211295,13208029,522850,28143151,575371,36087365,811020,46920459,644694,36789411,234294,13545497,263151,17686842,592963,35619505
VBS17685,210623,13208166,520420,28145530,575852,36088035,763214,46916569,645018,36787838,231350,13547771,262766,17687354,589508,35622297
VBS17686,215099,13208250,517664,28145470,577794,36092437,738308,46921539,645097,36789053,230682,13547646,264185,17689563,564386,35627473
VBS17687,209542,13208700,553243,28132021,569819,36090161,772839,46915570,641900,36787705,231542,13545685,262945,17687213,600459,35622058
VBS17689,213694,13204963,520900,28146648,577236,36090142,764624,46916260,641095,36790732,232061,13546377,263780,17689946,588798,35622871
VBS17690,210911,13207753,519308,28143559,573274,36091231,808139,46912005,642253,36788577,232023,13545541,260649,17690642,592641,35623625
VBS17691,214549,13207926,554985,28131832,566444,36087516,824524,46922301,641142,36790013,234771,13545072,264393,17687287,596965,35623707
VBS17692,207047,13207913,519555,28145762,578689,36091876,824317,46923219,643456,36790979,231947,13546166,267407,17688723,597679,35623736
VBS17693,213090,13206028,518725,28144479,655690,36061228,755784,46917964,644852,36788785,232307,13545867,268026,17687641,583345,35624575
VBS17694,214143,13208770,552723,28135103,655005,36061606,811051,46914515,635000,36788710,232757,13546797,266193,17688218,595459,35624923
VBS17695,212093,13205461,518865,28144862,574862,36089402,767576,46916518,643080,36789049,231900,13545982,263777,17688257,595563,35622365
VBS17696,215575,13208655,553044,28130701,576674,36089443,814684,46906846,645222,36788002,230642,13546655,263449,17689197,598572,35618690
VBS17697,213741,13206218,554186,28130629,576971,36090602,822546,46920422,638342,36788347,233360,13545545,265334,17689154,595150,35621314
VBS17698,214536,13206654,554068,28130160,614699,36072328,805813,46906137,643049,36788128,233456,13544204,265907,17687389,590091,35617723
VBS17699,210723,13205692,520126,28143593,618085,36079812,800359,46911395,643800,36787946,233749,13545923,265952,17690189,584935,35623934
VBS17700,214665,13206833,523828,28139317,580557,36090796,776709,46914603,644872,36787758,234410,13540952,268186,17688782,598159,35620679
VBS17701,214665,13203862,561538,28123967,582494,36081638,760821,46905900,650882,36780293,235712,13542217,266420,17685004,584642,35614695
VBS17702,214421,13207024,513486,28128445,576480,36089195,794232,46910314,645324,36786185,231935,13545177,265384,17687491,580930,35621084
VBS17703,218832,13202734,532982,28136236,596046,36081626,759941,46908038,658627,36780249,237153,13543858,274662,17686319,581563,35617473
VBS17704,215743,13202644,523661,28139410,618935,36070106,769364,46913479,651794,36782668,232989,13543523,269945,17685628,595879,35620952
VBS17705,213697,13205409,518223,28143268,578673,36086139,758387,46915850,643352,36788408,232595,13546052,263279,17687531,586407,35622428
VBS17706,211582,13206154,519160,28122721,581746,36085043,823614,46917246,643715,36782890,233164,13544185,267759,17687172,595866,35619228
VBS17707,212286,13205895,554816,28130319,575109,36089523,801265,46906995,644922,36786956,232516,13546448,262079,17688890,587149,35620590
VBS17709,211914,13209067,516391,28143478,572085,36089215,743274,46916287,639720,36787109,230505,13543529,263854,17688854,570940,35622501
VBS17710,209475,13206885,519818,28141715,576405,36088168,754501,46915794,643625,36789666,233118,13546059,264157,17687655,579893,35622312
VBS17711,212227,13205421,523155,28141565,580288,36084411,769737,46913113,648303,36787093,233062,13544690,266746,17687725,597645,35619164
VBS17714,239473,13197160,603030,28117384,713648,36043671,875392,46886332,705467,36771590,255186,13539089,293892,17679442,642605,35602633
VBS17715,210411,13208406,558536,28130974,613487,36076267,773988,46918117,636115,36789027,236999,13543989,268886,17687598,593735,35625413
VBS17716,212851,13205062,555438,28128557,574906,36087339,808738,46908884,617666,36788689,233484,13543538,263556,17686481,593804,35620987
VBS17717,212466,13206251,515886,28145389,616395,36075392,809856,46910261,641593,36788370,230761,13547587,268789,17688741,595316,35621016
VBS17718,212219,13208711,518361,28145481,575220,36086730,810712,46923782,644090,36789106,230531,13547940,261705,17687679,584100,35625039
VBS17719,208778,13208216,517078,28142922,657292,36061737,754953,46915562,639725,36790619,229191,13545314,268771,17687461,582533,35621917
VBS17720,211956,13206401,523527,28142749,573198,36086847,769269,46913031,642784,36789295,234992,13545950,263233,17687088,594284,35620432
VBS17721,213341,13206954,517615,28145149,571661,36090559,760652,46915544,638802,36790558,229577,13547137,262409,17688834,587377,35621997
VBS17722,212227,13207951,554263,28132166,579704,36089043,793505,46924233,641118,36785455,232200,13547123,264791,17689151,566421,35624541
VBS17723,216285,13204382,559005,28124278,584913,36081721,809466,46910846,651363,36779793,235369,13542714,268764,17684857,579873,35614985
VBS17724,216481,13204180,520319,28141031,585456,36081160,821685,46913023,647322,36784099,231762,13544765,268590,17684962,602563,35614626
VBS17725,213298,13204977,549408,28128332,577604,36085861,764078,46916857,643994,36789242,231901,13545787,265478,17686127,592362,35623499
VBS17726,211161,13207486,519517,28144454,656507,36063833,805712,46913860,643344,36793869,232351,13547407,267335,17688857,592025,35623159
VBS24095,147727,13242489,498114,28156072,591929,36070571,785287,46927540,651510,36793223,239460,13546104,272530,17689918,583955,35636414
VBS24096,133757,13243524,525634,28112969,565625,36049173,752565,46918690,630321,36789499,237719,13543704,263778,17688230,565621,35627899
VBS24097,157218,13242172,644894,28120715,714617,36048861,827204,46920162,684402,36792209,256350,13546024,291488,17687790,619428,35630437
VBS24098,160011,13241009,567529,28108319,611884,36054484,818226,46918551,675155,36795396,247207,13545074,285512,17690918,605578,35629049
VBS24101,164933,13242425,567877,28109174,625903,36054361,843743,46923652,696711,36796903,256474,13546822,291639,17690098,634719,35632696
VBS24104,156229,13241140,529084,28116353,596271,36076935,793461,46926468,668603,36794523,233436,13548541,276729,17693013,589398,35634309
VBS24105,113692,13245948,551245,28124369,503196,36060780,665503,46935189,566703,36803079,209571,13545638,233569,17692183,497069,35642842
VBS24117,109751,13249282,437916,28165496,586264,36061783,648195,46947634,550022,36807330,206476,13551802,226501,17696040,489426,35651288
VBS24118,136633,13243223,480915,28154427,543465,36055654,749897,46924688,627183,36791785,225236,13545516,255615,17690367,560926,35634999
VBS24119,109034,13249653,425387,28164912,488057,36069641,641394,46941198,549515,36807097,198253,13552032,230397,17696352,481499,35646255
VBS24120,115293,13245987,538791,28134981,496529,36070181,649536,46949283,551128,36805569,202796,13552521,224686,17699486,484032,35652726
VBS24121,111201,13249791,429378,28163080,581734,36065830,650110,46942754,547589,36808024,204778,13549469,224993,17696051,485847,35646705
VBS24122,105363,13250326,547282,28126720,489910,36069050,653745,46939972,555592,36806579,207947,13549195,228086,17696534,490626,35643492
VBS24123,108336,13248562,544830,28130937,534605,36094108,673893,46938463,558487,36803382,207314,13549408,229063,17698956,501264,35643183
VBS24124,115464,13246928,430772,28163423,522536,36062872,666969,46942224,555140,36806868,197868,13551665,236924,17693231,500334,35646041
VBS24125,112456,13247292,418885,28166812,482720,36090061,655044,46945694,539333,36806119,199750,13553293,220730,17698346,487196,35650035
VBS24126,107766,13250308,453444,28120285,490080,36068036,646244,46943043,546593,36806841,201458,13552100,228188,17694851,484150,35647738
VBS24127,111523,13248259,533936,28133701,496379,36062898,658438,46945235,547639,36802812,199499,13551220,230765,17694113,490674,35651438
VBS24128,114465,13246759,427669,28162116,504342,36079478,652092,46933198,549775,36805644,202663,13549178,235909,17690883,486828,35639934
VBS24129,109700,13249333,448003,28119060,539219,36089060,654693,46942361,552393,36806954,199169,13550438,227360,17695125,486149,35647249
VBS24130,112143,13247691,435086,28160214,580700,36061887,659174,46944082,556701,36804946,209849,13550479,221368,17695650,490153,35648944
VBS24132,110325,13248941,432407,28163329,490394,36064000,651011,46944142,555996,36809382,200212,13550693,229475,17695011,478854,35649140
VBS24135,111797,13248797,534921,28131933,492915,36068806,661653,46945457,557918,36805463,201623,13550523,231113,17696152,494046,35648927
VBS24137,115185,13246664,442943,28160549,519218,36063112,672011,46936877,581171,36799917,204598,13552152,234927,17692572,498311,35641946
VBS24138,115837,13249144,547254,28126466,581479,36064293,648894,46949124,545648,36808354,203097,13549692,226903,17697133,485839,35652090
VBS24141,102903,13249841,533595,28136970,437409,36075141,660995,46942371,549713,36811301,200435,13552420,228508,17695847,494893,35646424
VBS24142,111788,13247079,425529,28166178,498372,36065680,653815,46944927,552045,36804614,202217,13552615,226696,17694566,489232,35650257
VBS24143,111728,13249361,445493,28118149,626756,36070277,648606,46945208,555110,36806797,199230,13549106,228133,17696586,481767,35648518
VBS24144,113831,13247202,551820,28128870,569305,36088044,654975,46944125,567068,36797866,209065,13550676,236711,17696061,486979,35649394
VBS24145,114737,13248277,541095,28130931,543001,36090808,647843,46951664,558155,36810792,202150,13550748,231153,17694751,483322,35654214
VBS24147,109903,13248541,548908,28131177,490342,36065587,661983,46938181,554426,36808832,207142,13550753,232907,17695305,493078,35643274
VBS24148,113551,13247470,429678,28163839,539709,36093189,662758,46940152,548765,36808257,205608,13550120,230680,17696732,496812,35646122
VBS24149,21177,13257350,440046,28160682,589806,36057766,655795,46941676,561667,36804067,208620,13550531,233092,17695512,492788,35645885
VBS24150,9150,13263489,541042,28131875,499540,36084421,649213,46945991,555713,36804857,205866,13550086,226741,17696022,483628,35648670
VBS24152,107304,13249583,542412,28129811,588253,36061792,656401,46946675,551271,36806894,204088,13549330,227014,17696945,487209,35651951
VBS24153,30798,13253002,554793,28125863,500609,36062343,675477,46937588,574183,36800227,208993,13548322,232540,17693274,506435,35645050
VBS24154,19267,13257993,547361,28129802,496221,36065222,648493,46946584,560945,36805520,205826,13550112,228286,17693849,483371,35651186
VBS24155,108075,13248507,415962,28167240,634841,36069247,649825,46948297,552978,36811038,199516,13552545,230382,17696821,487404,35650488
VBS24156,20638,13254988,541794,28135818,588587,36059120,662438,46944302,551158,36805640,206737,13552637,228251,17693055,492045,35649638
VBS24157,112753,13249743,424848,28166392,636316,36070716,654087,46948323,553722,36808942,200130,13552492,235571,17696572,486024,35652489
VBS24159,20560,13258561,554757,28128596,508109,36062686,662398,46939918,566452,36805170,212252,13547716,232667,17696147,498784,35644420
VBS24160,110993,13248326,425760,28167226,626852,36072465,650418,46941284,553631,36807773,195691,13552919,223723,17697258,486403,35645795
VBS24161,10449,13263402,545053,28131355,628341,36070364,653031,46947041,556230,36810115,206513,13549824,225356,17697820,485340,35652675
VBS24162,17916,13260963,548296,28126319,486748,36066112,657622,46942059,560469,36803359,203058,13550209,225349,17693252,493212,35646006
VBS24163,23217,13261247,555654,28126936,537574,36091617,664503,46939931,551222,36808766,203741,13549836,226810,17696304,496596,35646278
VBS24164,111768,13250461,475629,28119555,485970,36070164,652073,46939550,551498,36810528,202050,13552129,223464,17696056,488260,35646344
VBS24165,9208,13263830,538338,28129958,500095,36065359,639656,46949546,552908,36808176,201719,13547710,231508,17696151,474472,35654770
VBS24166,11849,13260325,531050,28135892,585412,36061772,651720,46940642,553686,36801918,198385,13553118,230453,17695484,483179,35645670
VBS24167,111637,13248643,546720,28129270,486735,36069265,667589,46938316,562022,36804386,205395,13550631,225766,17695653,493789,35644216
VBS24168,109148,13247999,541612,28132669,501756,36083005,653772,46949544,549640,36807052,205914,13550767,233310,17696273,489074,35655174
VBS24169,13187,13259184,427178,28165510,635110,36069959,662522,46942105,556478,36806195,204033,13550523,235209,17695988,491049,35648842
VBS24170,11639,13264489,432856,28163883,578642,36063516,661101,46946652,548083,36806470,197928,13553266,230902,17695458,497553,35651804
VBS24171,109232,13248976,422720,28165591,493209,36063766,635282,46947948,555085,36809134,202991,13552288,227988,17693739,475774,35652182
VBS24172,16569,13260983,416134,28165777,578679,36061682,658557,46940808,550228,36806774,198111,13552421,222535,17694890,494313,35647844
VBS24173,9666,13263065,428917,28164486,575480,36064976,654050,46944791,554486,36808906,201975,13548796,221951,17696594,487703,35649645
VBS24174,110363,13248832,420729,28165117,578990,36065881,671685,46940891,555580,36804863,198815,13552483,225368,17696556,506199,35645059
VBS24175,106268,13249780,423691,28164745,541056,36068516,661365,46943590,556082,36809327,201520,13550363,230919,17693997,498119,35646975
VBS24176,113324,13248196,427317,28163176,485506,36067413,667825,46945975,554416,36806449,199086,13550229,222293,17696096,499024,35649606
VBS24177,108886,13248703,548882,28127788,486644,36068475,654730,46941380,546062,36807305,203359,13550032,225785,17695734,488633,35644519
VBS24178,14805,13260325,551386,28129434,484198,36069737,647616,46944516,560050,36806297,208344,13549224,226529,17696408,479007,35648017
VBS24179,18470,13257826,546914,28129390,509580,36057634,661681,46940619,567819,36805190,206242,13554103,232447,17694912,487621,35647423
VBS24180,14899,13259520,541426,28130623,483011,36067795,639463,46942054,552907,36809387,196839,13553583,221096,17696469,476286,35645607
VBS24181,107485,13249779,547831,28128687,498596,36064770,659575,46946394,560007,36807442,202354,13550799,226419,17695285,493957,35650103
VBS24182,112278,13250227,543476,28133156,484098,36071002,658997,46947113,553911,36808775,204313,13552131,226555,17697433,495553,35650074
VBS24183,19962,13248542,552306,28126312,590540,36059139,643360,46940012,563589,36804180,206876,13549820,228624,17694358,481111,35645149
VBS24184,107405,13249889,543195,28132990,491997,36087145,669349,46944611,558751,36810180,203588,13552757,225701,17696773,501575,35651026
VBS24185,109340,13248990,544348,28129453,491349,36063797,656606,46941840,556009,36808099,202596,13550730,224716,17692835,491050,35647522
VBS24186,110475,13246867,433197,28165149,491640,36065382,657461,46946607,554462,36805920,205381,13551923,219520,17695504,490010,35650436
VBS24187,108808,13248200,462495,28114999,487965,36066390,651127,46945295,558670,36801750,203046,13551170,227425,17695132,482045,35650262
VBS24188,108338,13249078,438036,28126792,495696,36066236,647487,46944879,549842,36810682,197496,13552025,230975,17694898,485761,35648891
VBS24189,110796,13249077,419732,28169443,587554,36061187,707202,46936146,554723,36806935,197255,13553935,225908,17695766,497543,35645915
VBS24190,114027,13247499,436584,28160995,575893,36062132,654095,46942421,552504,36807693,204829,13551445,222515,17695837,489631,35646753
VBS24191,111964,13249824,537233,28132649,584130,36061495,658194,46945628,561783,36807415,200220,13552365,222744,17697147,493245,35649499
VBS24192,112813,13248607,455917,28112100,584149,36062621,653877,46940167,550673,36805293,199606,13549587,224897,17693791,487821,35645298
VBS24193,110628,13250113,452697,28128773,489464,36066960,657244,46942429,555917,36805607,202196,13553034,218168,17697871,496166,35647350
VBS24194,107634,13249582,541592,28134392,539167,36094652,658232,46948421,560891,36806464,204812,13552361,228320,17697074,491949,35651547
VBS23999,123225,13248510,526405,28142016,550041,36100217,690101,46945925,550863,36824193,205878,13554354,234042,17699449,520240,35647626
VBS24001,123999,13247223,530875,28142393,633112,36075154,722480,46935540,550505,36819837,207253,13554654,237870,17696761,515687,35646220
VBS24004,120673,13248389,434374,28138703,554841,36097987,721129,46943103,551262,36821384,200908,13553309,233793,17696597,514298,35651228
VBS24005,122609,13248096,446657,28161134,475046,36120662,681724,46946663,544252,36823452,202810,13554007,234771,17698637,509122,35651806
VBS24007,123453,13247528,451688,28134476,485729,36077192,688801,46943876,553027,36818309,204858,13553113,238935,17696549,517066,35647839
VBS24012,187831,13242280,660650,28137330,642821,36116012,909980,46938219,717097,36810200,271314,13550923,314616,17697513,687233,35643828
VBS24015,155307,13242322,606690,28133406,718930,36068106,844720,46918683,644406,36808731,244306,13551297,279044,17693288,606409,35633538
VBS24020,181862,13240529,644783,28136321,721909,36067374,884707,46935598,708000,36812754,262648,13550124,304605,17695672,663261,35641681
VBS24027,123392,13246957,533706,28137588,571602,36071767,683176,46944060,548530,36817913,208264,13552300,231574,17696920,514153,35648914
VBS24032,120039,13248076,448308,28165717,632794,36075757,719576,46940617,546159,36818955,203171,13555672,238645,17697103,512382,35650001
VBS24386,213323,13204017,519023,28141593,627156,36074852,802008,46921542,644822,36785907,230582,13544969,270275,17688091,582658,35620334
VBS24389,213806,13203351,521962,28144872,660044,36060836,791174,46914619,641785,36786107,231981,13546243,271344,17687033,576329,35624983
VBS24390,210713,13205935,522785,28141208,583063,36089914,822032,46918877,643721,36786263,232783,13545676,266457,17688543,595383,35618903
VBS24391,211485,13205787,552219,28131493,656876,36061215,831240,46896043,643645,36789575,231337,13546025,268655,17687369,616271,35612912
VBS24393,211582,13204164,554976,28131242,659172,36060843,813528,46909622,643255,36784545,233598,13545101,271252,17685869,597871,35621144
VBS24395,215001,13204467,522672,28143895,627829,36073758,705400,46945020,644745,36785051,233894,13545973,270508,17685043,594306,35620164
VBS24396,212166,13204084,556950,28130479,625316,36074025,752484,46913726,645914,36785839,234370,13545622,269448,17687027,590565,35620241
VBS24397,211831,13205416,520688,28142714,624653,36074211,794583,46909978,647222,36786751,232236,13544493,267635,17685601,578947,35623159
VBS24398,215247,13206224,517648,28142234,586426,36088480,819589,46918193,642109,36786111,230411,13544020,269399,17688503,592920,35620124
VBS24399,209277,13205645,522238,28144238,660470,36058194,808290,46911435,646624,36785146,232444,13546003,271485,17685171,594079,35622438
VBS24400,210382,13205913,521731,28145563,624889,36073620,820836,46920760,644883,36787248,232407,13546928,268491,17687444,595081,35622041
VBS24401,207322,13204573,520224,28143209,584954,36086968,811953,46908658,646417,36785215,230678,13545649,268253,17687738,596184,35621087
VBS24402,211158,13206019,520122,28144365,604895,36059900,761711,46914124,643301,36787618,233489,13546535,268840,17684410,592962,35621677
VBS24403,214878,13205716,521539,28140003,625549,36075902,793307,46924915,643734,36790008,233493,13543753,270341,17687853,572916,35623714
VBS24404,206952,13204205,552877,28132423,659686,36059611,766028,46912026,641398,36788899,232748,13546397,271369,17684083,589875,35619965
VBS24406,211415,13204942,522497,28140733,582705,36086698,801534,46909155,644279,36785512,232591,13542667,266153,17687512,587672,35620338
VBS24407,215488,13205682,553253,28131793,625553,36072072,787612,46913316,644402,36788034,232949,13547634,269030,17686812,600292,35619483
VBS24408,212210,13205123,518845,28140424,586237,36087464,813796,46909569,646777,36786205,230340,13544038,268971,17689093,598809,35621047
VBS24409,216193,13205043,557810,28132103,550992,36079304,767551,46917882,645399,36787197,235475,13545467,251117,17688323,588154,35623859
VBS24410,213826,13204534,520060,28142793,586494,36085208,833030,46912164,641767,36786442,232002,13545160,266360,17686169,599888,35617676
VBS24411,212651,13206175,521140,28139761,585083,36087398,822305,46901727,643208,36784365,232780,13543582,266289,17688333,617779,35614026
VBS24412,215414,13204997,520029,28143728,660993,36060300,820732,46898795,642208,36788995,230851,13546146,272567,17687700,613179,35611680
VBS24413,213632,13203248,518421,28140731,601902,36062013,776060,46911090,646188,36786938,229814,13543350,267244,17688328,594406,35619282
VBS24414,213177,13205868,523043,28143971,587351,36089322,836765,46909668,645772,36785956,234251,13545843,269693,17688742,608650,35614588
VBS24416,208081,13206501,521472,28140911,579532,36086415,844729,46907120,644169,36785090,232643,13545541,263113,17688382,616491,35613461
VBS24417,212721,13203331,555829,28127175,587101,36086777,822666,46916345,644737,36786558,233054,13543124,270261,17688456,595306,35619029
VBS24418,213133,13202099,522664,28141315,588662,36086487,813443,46917909,646104,36785878,234057,13546086,269636,17686811,595535,35617524
VBS24419,216217,13203840,521154,28141946,626577,36075189,818786,46919084,645296,36788019,231816,13544651,270145,17687140,599791,35618683
VBS24420,211800,13206085,520592,28144762,564234,36074720,771241,46910621,643291,36786995,232415,13546972,263852,17686650,595380,35619531
VBS24421,212386,13204506,554312,28130108,600782,36061079,784821,46916576,647621,36788268,233355,13544902,264776,17686705,593089,35623715
VBS24423,207586,13206627,519016,28141431,659673,36059082,756933,46932079,645284,36789788,230945,13544006,271387,17686386,613756,35614826
VBS24424,212291,13205768,521384,28140431,627621,36074456,770076,46916050,642434,36786662,233796,13544145,271692,17686469,591570,35625064
VBS24425,210839,13205147,519816,28144804,625546,36075724,812834,46899267,645984,36790908,232156,13546660,268277,17688963,598034,35614372
VBS24426,211375,13204676,523486,28140850,585651,36084574,826224,46904695,641793,36787357,233345,13544852,269503,17686755,617557,35616204
VBS24427,211117,13202918,552508,28131606,625208,36072190,824443,46897366,642375,36789732,231679,13544585,269857,17687442,617227,35611453
VBS24428,214902,13204897,523520,28137045,584651,36084986,803670,46922395,643289,36784795,234482,13544590,268330,17687643,577632,35622923
VBS24429,215310,13205054,553208,28127526,586817,36086235,757505,46915153,644575,36783064,233103,13543993,268788,17687510,596854,35620344
VBS24430,211933,13207060,519318,28142852,586941,36092013,822993,46900832,643055,36790324,231495,13544360,269760,17690815,614849,35613458
VBS24431,212981,13208050,518502,28145383,623210,36074939,785350,46915026,643051,36787596,230533,13545433,267971,17687601,594189,35621961
VBS24432,214847,13204799,522389,28140774,626357,36073105,806622,46908658,644318,36785380,233471,13543751,269138,17685595,591580,35620303
VBS24433,209113,13205892,521858,28141768,625431,36073774,800758,46909772,642807,36785238,232065,13545212,269084,17686804,587802,35621314
VBS24434,205325,13206415,522175,28142986,584714,36088146,813645,46910669,644301,36787567,233604,13545068,267426,17688272,598967,35621621
VBS24435,213333,13203733,523262,28141488,582757,36090544,809456,46920562,645411,36787449,231964,13544571,266831,17688797,590174,35618799
VBS24488,121777,13246379,528584,28142255,483794,36116239,677477,46945673,543394,36819009,210058,13552871,235637,17699696,511790,35648328
VBS24489,130527,13239167,529385,28120244,557527,36074420,718724,46913270,562663,36793791,209435,13537831,238242,17684523,511587,35626568
VBS24492,121807,13246649,533663,28141024,542749,36078101,720101,46943996,540909,36824230,205637,13554557,237722,17695483,512844,35652970
VBS24493,124045,13246989,528814,28141194,546089,36097186,723594,46953979,554738,36818363,206110,13551669,233852,17697438,512457,35647996
VBS24494,122092,13247746,437594,28167613,551531,36095686,734224,46954135,550556,36818547,199982,13555895,238809,17697848,505543,35652255
VBS24497,120714,13247870,530112,28140888,628864,36072097,728240,46940884,550715,36818465,208875,13553309,234023,17695857,521094,35650743
VBS24498,120622,13245894,447064,28164884,555796,36097629,724590,46939401,553987,36816646,201584,13554928,238563,17697576,512072,35650416
VBS24499,118516,13248190,448009,28165304,474390,36123184,674393,46949235,540973,36819505,205471,13552829,230823,17699154,511526,35652622
VBS24502,126155,13245553,531452,28139447,628968,36073837,722226,46937358,545185,36819408,209564,13553510,235668,17696357,515091,35647549
VBS24505,118617,13248697,523273,28143104,626463,36079342,676723,46948902,549723,36818182,197858,13555846,233622,17700777,512169,35651085
VBS24506,120628,13248138,460117,28158607,641650,36069339,687808,46943295,550656,36817538,209189,13551446,245299,17694499,520824,35647437
VBS24507,121448,13247549,439576,28165486,554720,36095992,677736,46942263,543561,36819871,205127,13554638,239753,17696423,511527,35646355
VBS24509,122893,13248752,443189,28160717,472816,36078377,673909,46947756,545261,36820928,204830,13551540,233075,17696052,511666,35650167
VBS24510,127549,13245470,450498,28164519,495427,36093764,677147,46946482,545112,36819686,206810,13553575,233464,17698142,513601,35649348
VBS24512,121604,13247607,531741,28141246,477368,36077816,727680,46954563,550689,36821552,208730,13552380,227364,17697644,518170,35648812
VBS24513,118272,13246972,442557,28164079,631687,36076312,654408,46949681,547401,36822192,203824,13553480,239092,17696716,492740,35651740
VBS24514,123182,13247349,416302,28140379,626594,36071402,676884,46949501,545318,36820462,202497,13551927,234402,17695339,510382,35651581
VBS24515,124949,13246720,449532,28163570,635638,36072137,691112,46944709,550807,36818327,207591,13553328,242616,17694404,521942,35647310
VBS24516,122265,13247315,445610,28163860,567439,36075723,669440,46950545,552512,36820727,198865,13553231,233780,17697529,498583,35653450
VBS24517,123081,13246906,439338,28165392,558830,36097644,683346,46945028,552743,36821253,201248,13553563,239402,17697012,515365,35648191
VBS24518,121407,13248013,447274,28164726,572065,36072789,727204,46953258,545750,36819217,201791,13555165,235213,17694916,514335,35647935
VBS24519,121979,13247409,532094,28143092,549024,36099570,681653,46948557,539766,36820433,209131,13554595,234020,17698420,515567,35650857
VBS24520,126660,13247372,444578,28164792,624657,36076535,677937,46948184,544155,36820202,208134,13554088,231421,17698322,516337,35649233
VBS24521,120209,13247420,441025,28164919,539621,36099814,673737,46948443,549167,36820979,204420,13553711,229830,17699328,507852,35651530
VBS24522,120165,13248422,451854,28163409,476451,36120365,671844,46948842,537867,36823325,207119,13554254,235354,17698930,509641,35651352
VBS24523,125048,13247174,534946,28140620,567689,36074340,669811,46950413,552884,36818684,207870,13554424,232347,17698083,504236,35653369
VBS24524,126420,13245563,449337,28161534,485163,36069723,687772,46941152,546314,36820617,206485,13553190,233063,17693131,522177,35644411
VBS24525,122572,13247881,532005,28139613,489704,36099388,680801,46948039,546321,36821488,207500,13552129,232271,17699039,516084,35649824
VBS24527,122458,13246966,443969,28165516,463132,36124403,723726,46940348,551784,36818804,203146,13555048,228402,17700268,515915,35649974
VBS24528,121282,13246470,451165,28163031,570037,36074525,656972,46946910,550366,36819595,205274,13554447,235868,17696509,491209,35650667
VBS24529,122253,13247760,535167,28138950,567160,36074041,691647,46937826,544897,36823835,208142,13553817,232639,17697202,499654,35649544
VBS24530,121954,13247714,531276,28139793,629861,36076121,673833,46944190,538604,36819653,207582,13551413,235531,17697971,510028,35646605
VBS24531,123963,13247142,432162,28141089,482740,36078590,679343,46947644,553880,36817923,206613,13553278,235029,17697121,513063,35650996
VBS24532,119352,13248796,533741,28138975,470583,36120745,672717,46949644,539603,36818419,205569,13553170,229000,17700496,513174,35650725
VBS24533,123911,13247018,454008,28161818,639400,36071436,682546,46946526,548310,36816163,212623,13551277,244130,17693977,517853,35649836
VBS24534,125152,13247156,535205,28141211,539056,36081181,670076,46949773,541244,36822139,210628,13553174,239663,17698417,503302,35652723
VBS24535,122255,13247098,536826,28140932,538869,36080367,680664,46947529,546042,36821316,214058,13553313,234819,17698081,515679,35649160
VBS24536,122071,13247337,454476,28162361,576828,36071738,680229,46947458,543600,36819421,209173,13553039,238014,17695443,516487,35650336
VBS24537,120241,13247701,531735,28141730,634475,36073678,679783,46950525,548074,36820273,207177,13552448,238573,17696504,515754,35652323
VBS24539,123966,13246684,449846,28164701,632699,36077082,676338,46948781,547063,36819716,203345,13554403,239866,17698523,511618,35652317
