sample_id,n_het_X,n_called_X,n_het_3L,n_called_3L,n_het_3R,n_called_3R,n_het_2R,n_called_2R,n_het_2L,n_called_2L,n_het_3L_no_inv,n_called_3L_no_inv,n_het_3R_no_inv,n_called_3R_no_inv,n_het_2R_no_inv,n_called_2R_no_inv
VBS17481,205842,13205647,539240,28130232,574727,36047383,756917,46909686,606785,36788836,223058,13545714,258486,17679430,568738,35618496
VBS17482,205825,13204554,482587,28138681,570336,36045635,765946,46905038,610773,36778807,216480,13541529,251607,17679973,575577,35615114
VBS17483,203945,13206094,534784,28133754,577822,36049246,745730,46913934,617504,36788993,217929,13547080,256874,17680316,555170,35622333
VBS17484,201329,13208069,543649,28134603,577778,36051426,755714,46912059,603473,36787851,223868,13546691,258466,17680418,563074,35619963
VBS17485,243315,13197367,571374,28119782,679527,36031538,889777,46889842,717636,36771662,254935,13541092,307969,17669408,668558,35604854
VBS17486,204435,13204683,490444,28127420,575173,36048880,753395,46907515,607380,36786844,221798,13545344,258892,17679300,562461,35617912
VBS17488,219506,13196755,524496,28125492,623566,36024018,806700,46885406,654224,36764996,235744,13537112,281626,17667552,601620,35601117
VBS17489,205613,13204747,538640,28130935,574841,36046366,753791,46911005,604263,36787265,219841,13546101,256663,17679488,565350,35618554
VBS17490,149757,13239687,444203,28172697,468258,36129198,658478,46958637,551281,36829664,198454,13559567,224780,17703074,509686,35655615
VBS17491,151568,13238633,525932,28148511,566953,36099227,709911,46969431,550011,36824564,204259,13559686,238059,17700487,505485,35659503
VBS17492,137533,13244267,464309,28168164,499766,36093916,704774,46964287,567470,36821497,209652,13557730,242830,17697869,492605,35655638
VBS17494,150137,13240187,523438,28148635,627339,36078870,709591,46968167,543890,36827948,204579,13557054,238126,17699543,504085,35657677
VBS17495,146761,13242511,452052,28170707,499156,36125387,721120,46965220,558420,36823115,200331,13558128,233382,17701930,512453,35657579
VBS17496,144283,13240501,448447,28173042,500824,36093456,679628,46971761,540972,36829483,200683,13557914,237991,17698587,473345,35662443
VBS17497,147397,13242164,457910,28168373,565723,36098838,720276,46948337,540506,36828054,206739,13558060,236384,17701816,515330,35654163
VBS17498,195672,13231734,636309,28129072,709033,36073732,906440,46931305,706738,36798130,260731,13548238,309475,17688837,653422,35631879
VBS17499,151681,13239033,454366,28172708,502381,36122516,610982,46990845,554287,36823147,202500,13558901,240064,17700676,502676,35658029
VBS17502,146897,13240646,447853,28169801,569726,36097347,710664,46961160,563916,36823050,198470,13558392,239584,17700056,503480,35652697
VBS17503,147766,13239119,414332,28176331,498582,36123389,674809,46955396,537856,36826134,158449,13564643,240614,17701720,521513,35652802
VBS17504,156086,13238017,475093,28162670,532500,36114783,745837,46955382,566651,36820833,213653,13553902,247353,17696861,531201,35649287
VBS17505,146989,13241144,451975,28169628,501152,36124821,647174,46959047,544307,36824777,196983,13557826,231964,17701879,506429,35655475
VBS17506,151890,13240781,407416,28174156,565725,36099026,606012,46964419,557350,36825384,161362,13559989,241485,17698852,460558,35660420
